Dat,Site Name,Status,Priority,Severity,Screen Status,State,Case status,Type,Category,Reported Issue,Resolution,Queue Name,Region,Market,Creation Time,Last Update Time,Resolution time
1880000,KNCC Cinescape Avenues,Resolved,Major,High (Major),UP,Netherlands,Resolved,Email Request,Dolby Corridor,INTERMITTENT AUDIO,Recalibrated System,Future Work,EMEA,Market-France-ADDE-CDS,2/22/2025 13:31,2/22/2025 13:31,0
1880001,Pathe Nice Gare Du Sud,Solving,Critical,High (Critical),UP,England,Solving,Email Request,Automation,Application Not Responding,Power cycled / Reboot Server,Future Work,EMEA,Market-Saudi Arabia,7/18/2025 13:31,7/18/2025 13:31,0
1880002,AMC Dine-In Thoroughbred 20 - 4457,Under Review,Critical,High (Critical),DOWN,KY,Under Review,Web Support,Projector,Booth Temperature Issue,Replaced Component,EM3 Issues,Americas,Market-NJ,3/7/2025 13:31,3/7/2025 13:31,0
1880003,CGV Shanghai Fudi,Solving,Minor,Medium (Minor),UP,Korea,Solving,Email Request,Dolby Corridor,UPS Issue,Network Configuration Fixed,APAC Dispatched,APAC,Market-Hong Kong,3/1/2025 13:31,3/1/2025 13:31,0
1880004,Cinemark Century City,Solving,Critical,High (Critical),UP,TN,Solving,Email Request,Dolby Corridor,IMPROPER AUDIO LEVEL,Firmware Updated,CSE Dispatched,Americas,Market-COLOH,2/10/2025 13:31,2/10/2025 13:31,0
1880005,Pathe Nice Gare Du Sud,Solving,Minor,Medium (Minor),UP,France,Solving,Email Request,Qalif,Hardware Issues,Power cycled / Reboot Server,EMEA Dispatched,EMEA,Market-UK-CDS-VUK-CDS,4/13/2025 13:31,4/13/2025 13:31,0
1880006,CGV Seoul Gangnam,Resolved,Major,High (Major),UP,China,Resolved,Web Support,Audio,Network Connectivity Issue,Power cycled / Reboot Server,APAC Issues,APAC,Market-China-CGV,4/18/2025 13:31,4/18/2025 13:31,0
1880007,Wanda Chengdu Wuhou,Under Review,Major,Medium (Major),UP,Japan,Under Review,Email Request,Automation,Laser Module Driver Warning,Network Configuration Fixed,APAC Issues,APAC,Market-Singapore,7/15/2025 13:31,7/16/2025 13:31,1
1880008,Kinopolis Munich,Under Review,Minor,Medium (Minor),UP,Kuwait,Under Review,Email Request,Facility,IMAGE GEOMETRY/ALIGNMENT ISSUE,Pending Resolution,EMEA Issues,EMEA,Market-Kuwait,7/12/2025 13:31,7/12/2025 13:31,0
1880009,Vue Eindhoven,Solving,Major,Medium (Major),UP,France,Solving,Email Request,Facility,Screen Shaker Vibration,Network Configuration Fixed,EMEA Dispatched,EMEA,Market-France-ADDE-CDS,8/5/2025 13:31,8/5/2025 13:31,0
1880010,Wanda XiAn Gaoxin,Solving,Informational,Low (Minor),UP,Thailand,Solving,Email Request,Projector,Content Update Request,Replaced Component,APAC Issues,APAC,Market-China-CGV,1/6/2025 13:31,1/7/2025 13:31,1
